wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
873.129,109.5093637,108.6036112,108.5249723,110.2716212,110.4310609
873.295,109.6850309,108.3818334,108.4244963,110.0332225,110.4971562
873.46,109.1772169,108.0100776,107.9472781,109.629865,110.1550833
873.626,108.7302448,107.5248639,107.4300243,109.1821693,109.6403145
873.791,108.9871371,107.650521,107.460842,109.3642716,109.5704853
873.957,109.2544139,107.4836653,107.661859,109.3106712,109.1917993
874.122,109.0963812,107.6195287,107.6527567,109.1013115,109.151841
874.288,108.3560606,106.8613554,107.1999768,108.2922187,108.2368965
874.453,108.0091689,106.4986344,106.265177,107.4960407,107.728439
874.619,108.3782371,106.8816226,106.4205837,107.9368166,107.9479098
874.784,108.8333418,107.01692,106.9447283,108.136611,108.2175742
874.949,109.4276443,107.4775287,107.4314659,108.9486024,109.0382418
875.115,108.808002,107.3095229,107.2247946,108.9576514,108.9379689
875.28,108.7146019,107.7895847,107.6756214,109.1191581,109.1661922
875.445,109.2085575,108.2045111,108.209558,109.3350614,109.5042684
875.61,109.2093492,108.4394186,108.3411439,109.4700116,109.7929248
875.776,109.0166662,108.4697997,108.1771113,109.1630581,109.9041746
875.941,109.3721507,108.121948,108.068414,109.1018669,109.5256098
876.106,109.3003414,108.1939828,107.9936408,109.2023478,109.5600947
876.271,108.7412629,107.6465927,108.0747736,109.1745252,109.4293711
876.436,108.5609315,107.4141497,107.9960607,108.8101176,109.483912
876.602,108.0224002,107.2519333,107.4355273,108.4493699,109.033834
876.767,107.9576375,107.0961293,107.028753,108.3654345,108.7522165
876.932,108.3122109,106.9306063,106.9197724,108.551613,108.6172517
877.097,108.6020195,106.8466559,107.3248849,108.9392386,109.1106372
877.262,108.276317,106.2209546,106.9868627,109.1355751,108.7382285
877.427,108.7826976,106.7448905,107.6393686,109.4739078,109.0424665
877.592,108.8777668,106.5083175,107.765204,109.7773826,108.8190599
877.757,108.5040964,106.6235749,107.7987368,109.6934479,108.8563522
877.922,108.5424196,106.6289643,107.5104527,109.6367598,108.93741
878.087,108.6256446,106.7972332,107.5805332,109.5468489,108.5857602
878.252,108.7307149,107.2178421,107.6353862,109.952819,108.8876371
878.417,109.0457707,107.6376695,108.2793628,110.2641834,109.2515934
