wavelength,Sym_1,Sym_2,Sym_3,Sym_4,Sym_5
188.495,71.32583986,62.85650641,70.31628279,63.67707227,64.43882856
188.716,71.34342129,62.81884112,71.149305,65.00245866,65.27577922
188.937,69.15638831,60.97449683,69.92049442,64.37631087,64.39517799
189.158,68.11275913,59.56723952,70.52885082,63.60261818,63.39535961
189.379,66.03450885,58.88328276,68.76147114,61.62375399,62.05536686
189.6,65.78076221,58.69358203,69.01620381,61.40873684,63.00789876
189.821,63.04738144,58.1457693,66.59806348,59.95718085,60.2932342
190.042,61.79306994,58.64607777,66.60314959,61.11431171,60.21039181
190.263,60.76919673,58.33888255,65.99397287,61.59300085,58.33969225
190.484,60.12434123,57.25393603,64.84630006,61.02581937,58.01511631
190.705,60.37156504,57.79692149,64.70516825,61.1496429,59.13410311
190.926,59.88587623,58.82201282,65.32212572,61.71541103,59.66894072
191.147,59.00156263,59.68059237,63.473664,60.47713607,58.59445072
191.368,59.749249,61.28327195,63.52692759,60.60127632,59.69824563
191.589,60.05861102,60.31077463,61.75551556,60.51007407,57.75802161
191.81,62.01715731,60.29083038,63.65617108,61.94329828,59.72467711
192.03,61.02652206,61.44718024,63.68206448,62.99136714,60.06077762
192.251,61.89303042,61.18187047,63.89002545,62.62428032,60.10133619
192.472,61.56454582,60.17975908,63.24193961,60.96706008,60.50775677
192.693,61.70928579,58.48979928,61.70924775,59.08393323,60.03212076
192.914,62.66557835,59.21549095,63.39219922,60.87394676,61.64830733
193.135,62.77350331,59.54092197,63.53041654,60.48258265,63.13993636
193.356,63.3701359,58.12433427,62.14855072,59.64642948,61.67158797
193.576,63.61371957,57.4091148,62.74925909,59.33250931,61.52857327
193.797,62.27789905,54.82511272,61.6818317,56.11031132,57.11201642
194.018,63.72943553,54.41549972,62.38621036,55.63225848,58.18228034
194.239,63.43098228,54.37137804,61.68048472,54.68050839,56.79661635
194.459,63.73051591,52.72651553,61.16992067,53.38887462,55.21753284
194.68,63.09651963,52.89502105,61.58218627,54.23786926,55.98537466
194.901,64.21061221,55.59563723,63.23824579,56.42612304,57.26744978
195.122,64.42153024,57.488649,65.08573375,57.77237524,59.45965597
195.342,63.42249456,57.84586228,64.97597935,56.61359406,59.92008416
195.563,64.04952064,57.38331937,65.18441397,56.80641908,58.89590809
195.784,63.93284837,57.82961539,64.84220455,56.31603978,60.13532709
196.004,64.05441635,57.68448589,65.20322649,55.57777357,60.88492464
196.225,64.75806747,58.54972018,65.9395616,57.26542469,64.91463271
196.446,63.55660093,59.27289086,64.77092469,57.59380595,65.47252803
196.666,63.12380678,58.52329128,64.32802174,57.11381285,65.6374718
196.887,62.84927201,59.62346269,64.36717329,57.60649392,65.64284685
197.108,63.01073739,60.13780807,64.3415739,56.85321478,65.92389676
197.328,62.67150474,58.43685238,63.59773583,56.38056566,67.03495131
197.549,61.38424242,57.17691438,61.99760501,53.96782033,64.81619693
197.769,60.40992089,55.61674403,59.95501112,53.60112079,62.93025281
197.99,59.51577844,55.14060084,58.48384864,52.70905125,61.31367542
198.211,58.73500417,54.58146895,58.663027,53.07133491,59.83627019
198.431,58.2739924,54.23199122,56.4829392,53.93161273,58.42904379
198.652,58.06634298,54.29467589,56.80753113,55.22906146,57.03257128
198.872,59.13212663,56.45170378,58.86067132,56.26719852,58.12836769
