genes,signedlogP
evm.TU.Ap1.1016,0.0807226331174984
evm.TU.Ap1.1017,-0.0900340336493603
evm.TU.Ap1.1018,1.46119161340744
evm.TU.Ap1.1019,-2.95710881979115
evm.TU.Ap1.102,0.00264890404032488
evm.TU.Ap1.1020,-4.33680383211703
evm.TU.Ap1.1021,0.822137935203828
evm.TU.Ap1.1022,0.895604369741222
evm.TU.Ap1.1023,2.62937183897768
evm.TU.Ap1.1024,NA
evm.TU.Ap1.1025,0.166032826757619
evm.TU.Ap1.1026,-0.880629060836449
evm.TU.Ap1.1027,0.326382571600391
evm.TU.Ap1.1028,-0.994792217302468
evm.TU.Ap1.1029,-0.0699571323089073
evm.TU.Ap1.103,-0.000928276704003402
evm.TU.Ap1.1030,0.00446627999914161
evm.TU.Ap1.1031,NA
evm.TU.Ap1.1032,-0.114936420287915
evm.TU.Ap1.1033,-1.59283866868504
evm.TU.Ap1.1034,-13.2832859810795
evm.TU.Ap1.1035,0.756665277497018
evm.TU.Ap1.1036,0.122817825393477
evm.TU.Ap1.1037,NA
evm.TU.Ap1.1038,-0.0360698541410967
evm.TU.Ap1.1039,-0.132194161809998
evm.TU.Ap1.104,NA
evm.TU.Ap1.1040_evm.TU.Ap1.1041,1.03114676218497
evm.TU.Ap1.1043_evm.TU.Ap1.1042,0.231569585673449
evm.TU.Ap1.1044,0.160331771658096
evm.TU.Ap1.1045,-0.0961109468686715
evm.TU.Ap1.1046,-0.994625529072255
evm.TU.Ap1.1047,-4.94641365416615
evm.TU.Ap1.1048,-0.138625060368237
evm.TU.Ap1.1049,1.258761177587
evm.TU.Ap1.105,-1.24975856239714
evm.TU.Ap1.1050,-8.28123630236309
evm.TU.Ap1.1051,-3.70588441229833
evm.TU.Ap1.1052,-0.128449865479662
evm.TU.Ap1.1053,-0.036069818981793
evm.TU.Ap1.1054,0.0389417480871987
evm.TU.Ap1.1055,-2.20136040851297
evm.TU.Ap1.1056,-0.725811909877378
evm.TU.Ap1.1057,-0.0396338418663617
evm.TU.Ap1.1058,-1.28021502542866
evm.TU.Ap1.1059,-1.36672064967411
evm.TU.Ap1.106,0.683045271781899
evm.TU.Ap1.1060,NA
evm.TU.Ap1.1061,3.17142524870283
evm.TU.Ap1.1062,-0.0136050524946036
evm.TU.Ap1.1063,1.32054105939664
evm.TU.Ap1.1064,0.424626733628577
evm.TU.Ap1.1065,NA
evm.TU.Ap1.1066,0.415323565424978
evm.TU.Ap1.1067,-1.16121472353149
evm.TU.Ap1.1068,-0.259694752577872
evm.TU.Ap1.1069,-1.16766866489648
evm.TU.Ap1.107,3.29965073144361
evm.TU.Ap1.1070,0.0905241271280608
evm.TU.Ap1.1071,0.955172092420637
evm.TU.Ap1.1072,0.136612917780708
evm.TU.Ap1.1073,3.18524874618642
evm.TU.Ap1.1074,-3.03571882445107
evm.TU.Ap1.1075,-1.59553466747211
evm.TU.Ap1.1076,NA
evm.TU.Ap1.1077,-0.132703637827576
evm.TU.Ap1.1078,-0.149007552385643
evm.TU.Ap1.1079,-1.72801157436935
evm.TU.Ap1.108,-1.06211780001297
evm.TU.Ap1.1080,-0.323957744961376
evm.TU.Ap1.1081,0.0317701709652479
evm.TU.Ap1.1082,-0.000929247211490336
evm.TU.Ap1.1083,-0.03606936190517
evm.TU.Ap1.1084,NA
evm.TU.Ap1.1085,-2.20104903146357
evm.TU.Ap1.1086,-3.5468057265836
evm.TU.Ap1.1087,-0.835229856595167
evm.TU.Ap1.1088,NA
evm.TU.Ap1.1089,NA
evm.TU.Ap1.109,-0.314528894301107
evm.TU.Ap1.1090,2.02202551768575
evm.TU.Ap1.1091,1.92356073964902
evm.TU.Ap1.1092,-1.69861740290796
evm.TU.Ap1.1093,-0.451826500685383
evm.TU.Ap1.1094,-0.14488235835472
evm.TU.Ap1.1095,-1.64722955292303
evm.TU.Ap1.1096,-0.23620383384256
evm.TU.Ap1.1097,NA
evm.TU.Ap1.1098,-0.0360693619051701
evm.TU.Ap1.1099,3.14398318081476
evm.TU.Ap1.11,-0.0360693970644587
evm.TU.Ap1.110,NA
evm.TU.Ap1.1100,-1.98612272860315
evm.TU.Ap1.1101,NA
